,tissue,histology,sub-histology,gender,Custom
CAL148,breast,carcinoma,ductal_carcinoma,F,Unknown
NALM19,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,acute_lymphoblastic_B_cell_leukaemia,M,Unknown
HPBALL,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,acute_lymphoblastic_T_cell_leukaemia,M,Unknown
SUPT11,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,peripheral_T_cell_lymphoma_unspecified,M,Unknown
CL40,large_intestine,carcinoma,NS,F,Unknown
MDAMB134VI,breast,carcinoma,ductal_carcinoma,F,Unknown
HCC1500,breast,carcinoma,ductal_carcinoma,F,Unknown
HCC1599,breast,carcinoma,ductal_carcinoma,F,Unknown
SUPHD1,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,Hodgkin_lymphoma,M,Unknown
MOTN1,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,T_cell_large_granular_lymphocytic_leukaemia,F,Unknown
OCIAML3,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm,acute_myeloid_leukaemia,M,Unknown
SUDHL10,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,M,Unknown
SUDHL4,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,M,Unknown
RH41,soft_tissue,rhabdomyosarcoma,alveolar,F,Unknown
OCILY19,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,F,Unknown
MOLM6,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm,blast_phase_chronic_myeloid_leukaemia,M,Unknown
SKMM2,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,plasma_cell_myeloma,M,Unknown
KASUMI6,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm,acute_myeloid_leukaemia,M,Unknown
HS698T,large_intestine,carcinoma,adenocarcinoma,M,Unknown
UACC893,breast,carcinoma,ductal_carcinoma,F,Unknown
MINO,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,mantle_cell_lymphoma,M,Unknown
CHP126,autonomic_ganglia,neuroblastoma,NS,F,Unknown
COLO680N,oesophagus,carcinoma,squamous_cell_carcinoma,F,Unknown
COLO678,large_intestine,carcinoma,adenocarcinoma,M,Unknown
LAMA84,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm,blast_phase_chronic_myeloid_leukaemia,F,Unknown
CMLT1,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm,blast_phase_chronic_myeloid_leukaemia,F,Unknown
EHEB,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,chronic_lymphocytic_leukaemia-small_lymphocytic_lymphoma,F,Unknown
CAL54,kidney,carcinoma,renal_cell_carcinoma,M,Unknown
BV173,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm,blast_phase_chronic_myeloid_leukaemia,M,Unknown
DOHH2,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,M,Unknown
EOL1,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm,acute_myeloid_leukaemia,M,Unknown
NALM6,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,acute_lymphoblastic_B_cell_leukaemia,M,Unknown
VMCUB1,urinary_tract,carcinoma,transitional_cell_carcinoma,M,Unknown
LP1,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,plasma_cell_myeloma,F,Unknown
LXF289,lung,carcinoma,adenocarcinoma,M,Unknown
MONOMAC1,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm,acute_myeloid_leukaemia,M,Unknown
PL21,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm,acute_myeloid_leukaemia,M,Unknown
PF382,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,acute_lymphoblastic_T_cell_leukaemia,F,Unknown
NALM1,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm,blast_phase_chronic_myeloid_leukaemia,F,Unknown
OCIAML2,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm,acute_myeloid_leukaemia,M,Unknown
MHHCALL3,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,acute_lymphoblastic_B_cell_leukaemia,F,Unknown
JURLMK1,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm,blast_phase_chronic_myeloid_leukaemia,M,Unknown
OCIAML5,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm,acute_myeloid_leukaemia,M,Unknown
KE37,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,acute_lymphoblastic_T_cell_leukaemia,M,Unknown
JK1,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm,blast_phase_chronic_myeloid_leukaemia,M,Unknown
RI1,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,B_cell_lymphoma_unspecified,F,Unknown
KARPAS422,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,NA,Unknown
L540,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,Hodgkin_lymphoma,F,Unknown
CAL78,bone,chondrosarcoma,dedifferentiated,M,Unknown
HDQP1,breast,carcinoma,ductal_carcinoma,F,Unknown
MHHCALL4,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,acute_lymphoblastic_B_cell_leukaemia,M,Unknown
MUTZ5,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,acute_lymphoblastic_B_cell_leukaemia,M,Unknown
ONCODG1,ovary,carcinoma,adenocarcinoma,F,Unknown
HDLM2,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,Hodgkin_lymphoma,M,Unknown
CAL29,urinary_tract,carcinoma,transitional_cell_carcinoma,F,Unknown
KOPN8,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,acute_lymphoblastic_B_cell_leukaemia,F,Unknown
HCC95,lung,carcinoma,squamous_cell_carcinoma,M,Unknown
253J,urinary_tract,carcinoma,transitional_cell_carcinoma,NA,Unknown
HCC1438,lung,carcinoma,large_cell_carcinoma,M,Unknown
253JBV,urinary_tract,carcinoma,transitional_cell_carcinoma,U,Unknown
RPMI7951,skin,malignant_melanoma,NS,F,Unknown
SNU1066,upper_aerodigestive_tract,carcinoma,squamous_cell_carcinoma,M,Unknown
SNU1041,upper_aerodigestive_tract,carcinoma,NS,NA,Unknown
HCC2108,lung,carcinoma,adenocarcinoma,M,Unknown
COLO783,skin,malignant_melanoma,NS,F,Unknown
HCC1359,lung,carcinoma,large_cell_carcinoma,F,Unknown
BICR31,upper_aerodigestive_tract,carcinoma,squamous_cell_carcinoma,M,Unknown
COV362,ovary,carcinoma,NS,F,Unknown
COLO792,skin,malignant_melanoma,NS,M,Unknown
COV434,ovary,sex_cord-stromal_tumour,granulosa_cell_tumour,F,Unknown
WM983B,skin,malignant_melanoma,NS,NA,Unknown
HS751T,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,Hodgkin_lymphoma,NA,Unknown
LS513,large_intestine,carcinoma,adenocarcinoma,M,Unknown
NCIH2110,lung,carcinoma,non_small_cell_carcinoma,NA,Unknown
CHAGOK1,lung,carcinoma,NS,M,Unknown
DMS454,lung,carcinoma,small_cell_carcinoma,M,Unknown
CORL47,lung,carcinoma,small_cell_carcinoma,M,Unknown
FTC238,thyroid,carcinoma,follicular_carcinoma,M,Unknown
DMS273,lung,carcinoma,small_cell_carcinoma,F,Unknown
FTC133,thyroid,carcinoma,follicular_carcinoma,M,Unknown
CORL311,lung,carcinoma,small_cell_carcinoma,M,Unknown
NCIH2286,lung,carcinoma,small_cell_carcinoma,F,Unknown
NCIH1339,lung,carcinoma,small_cell_carcinoma,F,Unknown
WM793,skin,malignant_melanoma,NS,NA,Unknown
A704,kidney,carcinoma,renal_cell_carcinoma,M,Unknown
MDAMB435S,skin,malignant_melanoma,NS,F,Unknown
WM1799,skin,malignant_melanoma,NS,NA,Unknown
MEWO,skin,malignant_melanoma,NS,M,Unknown
WM88,skin,malignant_melanoma,NS,NA,Unknown
NCIH2081,lung,carcinoma,small_cell_carcinoma,F,Unknown
HS255T,large_intestine,carcinoma,adenocarcinoma,F,Unknown
NCIH1092,lung,carcinoma,small_cell_carcinoma,M,Unknown
SW837,large_intestine,carcinoma,adenocarcinoma,M,Unknown
JHH6,liver,carcinoma,hepatocellular_carcinoma,F,Unknown
IGR1,skin,malignant_melanoma,NS,M,Unknown
NCIH1105,lung,carcinoma,small_cell_carcinoma,M,Unknown
NCIH1436,lung,carcinoma,small_cell_carcinoma,M,Unknown
NCIH1876,lung,carcinoma,small_cell_carcinoma,M,Unknown
CORL24,lung,carcinoma,small_cell_carcinoma,M,Unknown
COV644,ovary,carcinoma,NS,F,Unknown
GP2D,large_intestine,carcinoma,adenocarcinoma,F,Unknown
PECAPJ15,upper_aerodigestive_tract,carcinoma,squamous_cell_carcinoma,M,Unknown
CORL88,lung,carcinoma,small_cell_carcinoma,M,Unknown
CORL95,lung,carcinoma,small_cell_carcinoma,M,Unknown
PECAPJ49,upper_aerodigestive_tract,carcinoma,squamous_cell_carcinoma,M,Unknown
PECAPJ34CLONEC12,upper_aerodigestive_tract,carcinoma,squamous_cell_carcinoma,M,Unknown
CORL51,lung,carcinoma,small_cell_carcinoma,M,Unknown
RT11284,urinary_tract,carcinoma,NS,F,Unknown
PECAPJ41CLONED2,upper_aerodigestive_tract,carcinoma,squamous_cell_carcinoma,F,Unknown
OV7,ovary,carcinoma,NS,F,Unknown
HT55,large_intestine,carcinoma,adenocarcinoma,NA,Unknown
OAW42,ovary,carcinoma,NS,F,Unknown
MDST8,large_intestine,carcinoma,adenocarcinoma,NA,Unknown
OAW28,ovary,carcinoma,NS,F,Unknown
SUIT2,pancreas,carcinoma,ductal_carcinoma,M,Unknown
LC1SQSF,lung,carcinoma,squamous_cell_carcinoma,M,Unknown
KASUMI1,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm,acute_myeloid_leukaemia,M,Unknown
SUPM2,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,anaplastic_large_cell_lymphoma,F,Unknown
SKHEP1,liver,carcinoma,adenocarcinoma,M,Unknown
OVCAR8,ovary,carcinoma,NS,F,Unknown
NCIH2172,lung,carcinoma,non_small_cell_carcinoma,F,Unknown
ISHIKAWAHERAKLIO02ER,endometrium,carcinoma,adenocarcinoma,F,Unknown
NCIH596,lung,carcinoma,mixed_adenosquamous_carcinoma,M,Unknown
NCIH650,lung,carcinoma,bronchioloalveolar_adenocarcinoma,M,Unknown
SW1573,lung,carcinoma,squamous_cell_carcinoma,F,Unknown
OVMANA,ovary,carcinoma,clear_cell_carcinoma,F,Unknown
SKCO1,large_intestine,carcinoma,adenocarcinoma,M,Unknown
KARPAS299,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,anaplastic_large_cell_lymphoma,M,Unknown
YAPC,pancreas,carcinoma,NS,M,Unknown
HT1197,urinary_tract,carcinoma,NS,M,Unknown
A253,salivary_gland,carcinoma,mucoepidermoid_carcinoma,M,Unknown
HCC366,lung,carcinoma,mixed_adenosquamous_carcinoma,F,Unknown
DKMG,central_nervous_system,glioma,astrocytoma_Grade_IV,F,Unknown
SNU1040,large_intestine,carcinoma,NS,M,Unknown
SNU1076,upper_aerodigestive_tract,carcinoma,squamous_cell_carcinoma,M,Unknown
SNU175,large_intestine,carcinoma,NS,F,Unknown
SNU407,large_intestine,carcinoma,NS,M,Unknown
SNU201,central_nervous_system,glioma,astrocytoma_Grade_IV,M,Unknown
KMS20,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,plasma_cell_myeloma,F,Unknown
SNU216,stomach,carcinoma,NS,F,Unknown
SNU1196,biliary_tract,carcinoma,NS,NA,Unknown
SNU1079,biliary_tract,carcinoma,NS,NA,Unknown
HCC1195,lung,carcinoma,mixed_adenosquamous_carcinoma,M,Unknown
NCIH854,lung,carcinoma,adenocarcinoma,NA,Unknown
SNU466,central_nervous_system,glioma,astrocytoma_Grade_IV,M,Unknown
YD38,upper_aerodigestive_tract,carcinoma,squamous_cell_carcinoma,M,Unknown
SNU1105,central_nervous_system,glioma,astrocytoma_Grade_IV,M,Unknown
SNU283,large_intestine,carcinoma,NS,F,Unknown
SNU46,upper_aerodigestive_tract,carcinoma,squamous_cell_carcinoma,M,Unknown
SNU308,biliary_tract,carcinoma,NS,NA,Unknown
YD8,upper_aerodigestive_tract,carcinoma,squamous_cell_carcinoma,F,Unknown
SNU245,biliary_tract,carcinoma,NS,NA,Unknown
SNU478,biliary_tract,carcinoma,NS,NA,Unknown
SNU410,pancreas,carcinoma,NS,M,Unknown
SNU899,upper_aerodigestive_tract,carcinoma,squamous_cell_carcinoma,M,Unknown
SNU503,large_intestine,carcinoma,NS,M,Unknown
SET2,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm,essential_thrombocythaemia,F,Unknown
SNU738,central_nervous_system,glioma,oligodendroglioma,M,Unknown
SNU626,central_nervous_system,glioma,astrocytoma_Grade_IV,M,Unknown
SNU869,biliary_tract,carcinoma,NS,NA,Unknown
SNU878,liver,carcinoma,hepatocellular_carcinoma,F,Unknown
SNU840,ovary,carcinoma,Brenner_tumour,F,Unknown
SNU8,ovary,carcinoma,adenocarcinoma,F,Unknown
NCIH684,liver,other,hepatoblastoma,NA,Unknown
IGR39,skin,malignant_melanoma,NS,M,Unknown
ALEXANDERCELLS,liver,carcinoma,hepatocellular_carcinoma,M,Unknown
DAOY,central_nervous_system,primitive_neuroectodermal_tumour-medulloblastoma,NS,M,Unknown
HEP3B217,liver,carcinoma,hepatocellular_carcinoma,M,Unknown
KYM1,soft_tissue,rhabdomyosarcoma,NS,NA,Unknown
LC1F,lung,carcinoma,squamous_cell_carcinoma,M,Unknown
HLE,liver,carcinoma,hepatocellular_carcinoma,M,Unknown
CMK,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm,acute_myeloid_leukaemia,NA,Unknown
JMSU1,urinary_tract,carcinoma,NS,M,Unknown
IMR32,autonomic_ganglia,neuroblastoma,NS,M,Unknown
SUDHL8,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,M,Unknown
T3M4,pancreas,carcinoma,ductal_carcinoma,M,Unknown
COLO818,skin,malignant_melanoma,NS,NA,Unknown
PK45H,pancreas,carcinoma,NS,NA,Unknown
HEC59,endometrium,carcinoma,adenocarcinoma,F,Unknown
HS742T,breast,carcinoma,NS,F,Unknown
BICR56,upper_aerodigestive_tract,carcinoma,squamous_cell_carcinoma,F,Unknown
BICR16,upper_aerodigestive_tract,carcinoma,squamous_cell_carcinoma,M,Unknown
TE10,oesophagus,carcinoma,squamous_cell_carcinoma,NA,Unknown
SKMEL28,skin,malignant_melanoma,NS,M,Unknown
BICR6,upper_aerodigestive_tract,carcinoma,squamous_cell_carcinoma,M,Unknown
BHY,upper_aerodigestive_tract,carcinoma,squamous_cell_carcinoma,M,Unknown
AZ521,stomach,carcinoma,NS,NA,Unknown
SH4,skin,malignant_melanoma,NS,F,Unknown
KPL1,breast,carcinoma,ductal_carcinoma,F,Unknown
CGTHW1,thyroid,carcinoma,follicular_carcinoma,F,Unknown
TUHR4TKB,kidney,carcinoma,NS,NA,Unknown
LS123,large_intestine,carcinoma,adenocarcinoma,F,Unknown
HEL,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm,acute_myeloid_leukaemia,M,Unknown
HPAC,pancreas,carcinoma,ductal_carcinoma,F,Unknown
RCC10RGB,kidney,carcinoma,renal_cell_carcinoma,NA,Unknown
JHOM1,ovary,carcinoma,adenocarcinoma,NA,Unknown
SU8686,pancreas,carcinoma,ductal_carcinoma,F,Unknown
HCC33,lung,carcinoma,small_cell_carcinoma,M,Unknown
TE6,oesophagus,carcinoma,squamous_cell_carcinoma,NA,Unknown
JHOC5,ovary,carcinoma,clear_cell_carcinoma,NA,Unknown
ACCMESO1,pleura,mesothelioma,NS,NA,Unknown
BL41,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,Burkitt_lymphoma,M,Unknown
SNU1214,upper_aerodigestive_tract,carcinoma,squamous_cell_carcinoma,M,Unknown
CORL105,lung,carcinoma,adenocarcinoma,M,Unknown
LMSU,stomach,carcinoma,adenocarcinoma,NA,Unknown
SNU1197,large_intestine,carcinoma,NS,M,Unknown
COLO668,lung,carcinoma,small_cell_carcinoma,F,Unknown
OSRC2,kidney,carcinoma,renal_cell_carcinoma,NA,Unknown
HUH6,liver,other,hepatoblastoma,NA,Unknown
PANC0203,pancreas,carcinoma,NS,F,Unknown
CJM,skin,malignant_melanoma,NS,NA,Unknown
BICR22,upper_aerodigestive_tract,carcinoma,squamous_cell_carcinoma,M,Unknown
SHSY5Y,autonomic_ganglia,neuroblastoma,NS,F,Unknown
TM31,central_nervous_system,glioma,astrocytoma,NA,Unknown
SNU1272,kidney,carcinoma,clear_cell_renal_cell_carcinoma,F,Unknown
KPNRTBM1,autonomic_ganglia,neuroblastoma,NS,NA,Unknown
BICR18,upper_aerodigestive_tract,carcinoma,squamous_cell_carcinoma,M,Unknown
TE4,oesophagus,carcinoma,squamous_cell_carcinoma,NA,Unknown
PCM6,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,plasma_cell_myeloma,F,Unknown
ECC10,stomach,carcinoma,small_cell_adenocarcinoma,NA,Unknown
TUHR14TKB,kidney,carcinoma,NS,NA,Unknown
YD15,salivary_gland,carcinoma,mucoepidermoid_carcinoma,M,Unknown
UBLC1,urinary_tract,carcinoma,transitional_cell_carcinoma,F,Unknown
ECGI10,oesophagus,carcinoma,NS,NA,Unknown
CW2,large_intestine,carcinoma,NS,NA,Unknown
SNU761,liver,carcinoma,hepatocellular_carcinoma,M,Unknown
SNU61,large_intestine,carcinoma,NS,M,Unknown
NCIH1915,lung,carcinoma,large_cell_carcinoma,F,Unknown
SNU324,pancreas,carcinoma,NS,M,Unknown
YD10B,upper_aerodigestive_tract,carcinoma,squamous_cell_carcinoma,M,Unknown
HCC2279,lung,carcinoma,adenocarcinoma,F,Unknown
HLC1,lung,carcinoma,adenocarcinoma,NA,Unknown
TUHR10TKB,kidney,carcinoma,NS,NA,Unknown
HEC1B,endometrium,carcinoma,adenocarcinoma,F,Unknown
VMRCLCP,lung,carcinoma,squamous_cell_carcinoma,NA,Unknown
TGBC11TKB,stomach,carcinoma,NS,NA,Unknown
OVK18,ovary,carcinoma,endometrioid_carcinoma,NA,Unknown
SNU1077,endometrium,carcinoma,carcinosarcoma-malignant_mesodermal_mixed_tumour,F,Unknown
HCC1588,lung,carcinoma,squamous_cell_carcinoma,F,Unknown
SNU213,pancreas,carcinoma,NS,M,Unknown
HT115,large_intestine,carcinoma,NS,NA,Unknown
TE14,oesophagus,carcinoma,squamous_cell_carcinoma,NA,Unknown
TE8,oesophagus,carcinoma,squamous_cell_carcinoma,NA,Unknown
SNU520,stomach,carcinoma,NS,F,Unknown
JHUEM3,endometrium,carcinoma,adenocarcinoma,NA,Unknown
LI7,liver,carcinoma,hepatocellular_carcinoma,NA,Unknown
NCIH838,lung,carcinoma,non_small_cell_carcinoma,M,Unknown
SNU119,ovary,carcinoma,adenocarcinoma,F,Unknown
SNU1033,large_intestine,carcinoma,NS,F,Unknown
SNUC5,large_intestine,carcinoma,adenocarcinoma,F,Unknown
GSS,stomach,carcinoma,adenocarcinoma,NA,Unknown
TALL1,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,acute_lymphoblastic_T_cell_leukaemia,M,Unknown
HCC1171,lung,carcinoma,non_small_cell_carcinoma,M,Unknown
SNUC4,large_intestine,carcinoma,adenocarcinoma,M,Unknown
U138MG,central_nervous_system,glioma,astrocytoma,M,Unknown
SNU620,stomach,carcinoma,NS,F,Unknown
ECC12,stomach,carcinoma,small_cell_adenocarcinoma,NA,Unknown
GSU,stomach,carcinoma,adenocarcinoma,NA,Unknown
KMS18,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,plasma_cell_myeloma,M,Unknown
JHOM2B,ovary,carcinoma,adenocarcinoma,NA,Unknown
SNU349,kidney,carcinoma,clear_cell_renal_cell_carcinoma,M,Unknown
UMUC1,urinary_tract,carcinoma,transitional_cell_carcinoma,M,Unknown
NAMALWA,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,Burkitt_lymphoma,F,Unknown
NCIH292-1,lung,carcinoma,mucoepidermoid_carcinoma,F,Unknown
59M,ovary,carcinoma,NS,F,Unknown
U118MG,central_nervous_system,glioma,astrocytoma,M,Unknown
VMRCLCD,lung,carcinoma,adenocarcinoma,M,Unknown
HCC1833,lung,carcinoma,adenocarcinoma,NA,Unknown
RH30,soft_tissue,rhabdomyosarcoma,alveolar,M,Unknown
TCCSUP,urinary_tract,carcinoma,transitional_cell_carcinoma,F,Unknown
SNU601,stomach,carcinoma,NS,M,Unknown
CAL33,upper_aerodigestive_tract,carcinoma,squamous_cell_carcinoma,M,Unknown
SNU668,stomach,carcinoma,signet_ring_adenocarcinoma,M,Unknown
CORL279,lung,carcinoma,small_cell_carcinoma,M,Unknown
GB1,central_nervous_system,glioma,astrocytoma_Grade_IV,M,Unknown
KURAMOCHI,ovary,carcinoma,undifferentiated_carcinoma,F,Unknown
COLO775,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm,chronic_myeloid_leukaemia,M,Unknown
COLO684,endometrium,carcinoma,adenocarcinoma,F,Unknown
KLM1,pancreas,carcinoma,ductal_carcinoma,NA,Unknown
GRM,skin,malignant_melanoma,NS,M,Unknown
SNU685,endometrium,carcinoma,carcinosarcoma-malignant_mesodermal_mixed_tumour,F,Unknown
CMK86,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm,acute_myeloid_leukaemia,NA,Unknown
SNU886,liver,carcinoma,hepatocellular_carcinoma,M,Unknown
HCT8,large_intestine,carcinoma,adenocarcinoma,M,Unknown
NCCSTCK140,stomach,carcinoma,NS,NA,Unknown
NCIH3255,lung,carcinoma,adenocarcinoma,F,Unknown
SNU719,stomach,carcinoma,NS,M,Unknown
SNU489,central_nervous_system,glioma,astrocytoma_Grade_IV,M,Unknown
SNU81,large_intestine,carcinoma,NS,M,Unknown
A2058,skin,malignant_melanoma,NS,M,Unknown
HTK,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,plasma_cell_myeloma,F,Unknown
NCIH292-2,lung,carcinoma,mucoepidermoid_carcinoma,F,Unknown
LN443,central_nervous_system,glioma,astrocytoma_Grade_IV,NA,Unknown
SLR23,kidney,carcinoma,renal_cell_carcinoma,NA,Unknown
HMEL,breast,other,immortalized_epithelial,NA,Unknown
OELE,ovary,other,immortalized_epithelial,NA,Unknown
LN235,central_nervous_system,glioma,astrocytoma_Grade_IV,NA,Unknown
BJHTERT,skin,other,immortalized_fibroblast,NA,Unknown
LN428,central_nervous_system,glioma,astrocytoma_Grade_IV,NA,Unknown
SLR24,kidney,carcinoma,renal_cell_carcinoma,NA,Unknown
EWS502,bone,Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour,NS,NA,Unknown
SALE,lung,other,immortalized_epithelial,NA,Unknown
HCC2814,lung,carcinoma,squamous_cell_carcinoma,NA,Unknown
SKRC31,kidney,carcinoma,renal_cell_carcinoma,NA,Unknown
TIG3TD,lung,other,immortalized_embryonic_fibroblast,NA,Unknown
TC32,bone,Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour,NS,NA,Unknown
SF172,central_nervous_system,glioma,astrocytoma_Grade_IV,NA,Unknown
PRECLH,prostate,other,immortalized_epithelial,NA,Unknown
U343,central_nervous_system,glioma,astrocytoma_Grade_IV,NA,Unknown
RCC4,kidney,carcinoma,clear_cell_renal_cell_carcinoma,NA,Unknown
LN215,central_nervous_system,glioma,astrocytoma_Grade_IV,NA,Unknown
LN464,central_nervous_system,glioma,astrocytoma_Grade_IV,NA,Unknown
SLR25,kidney,carcinoma,renal_cell_carcinoma,NA,Unknown
U178,central_nervous_system,glioma,astrocytoma_Grade_IV,NA,Unknown
F5,central_nervous_system,meningioma,NS,NA,Unknown
HEKTE,kidney,other,immortalized_epithelial,NA,Unknown
SLR26,kidney,carcinoma,renal_cell_carcinoma,NA,Unknown
SKRC20,kidney,carcinoma,renal_cell_carcinoma,NA,Unknown
SF767,central_nervous_system,glioma,astrocytoma_Grade_III,NA,Unknown
A1207,central_nervous_system,glioma,NS,NA,Unknown
LN319,central_nervous_system,glioma,astrocytoma_Grade_III,NA,Unknown
HCC364,lung,carcinoma,adenocarcinoma,NA,Unknown
UMRC6,kidney,carcinoma,renal_cell_carcinoma,NA,Unknown
LN382,central_nervous_system,glioma,astrocytoma_Grade_IV,NA,Unknown
IOMMLEE,central_nervous_system,meningioma,NS,NA,Unknown
UMRC2,kidney,carcinoma,clear_cell_renal_cell_carcinoma,NA,Unknown
DFCI024,lung,carcinoma,adenocarcinoma,NA,Unknown
HCC1897,lung,carcinoma,squamous_cell_carcinoma,NA,Unknown
SLR21,kidney,carcinoma,renal_cell_carcinoma,NA,Unknown
LNZ308,central_nervous_system,glioma,astrocytoma_Grade_IV,NA,Unknown
LN340,central_nervous_system,glioma,astrocytoma_Grade_IV,NA,Unknown
HCC827GR5,lung,carcinoma,adenocarcinoma,NA,Unknown
SLR20,kidney,carcinoma,renal_cell_carcinoma,NA,Unknown
HK2,kidney,other,immortalized_epithelial,NA,Unknown
EW8,bone,Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour,NS,NA,Unknown
UOK101,kidney,carcinoma,clear_cell_renal_cell_carcinoma,NA,Unknown
JHESOAD1,oesophagus,carcinoma,barrett_associated_adenocarcinoma,NA,Unknown
CH157MN,central_nervous_system,meningioma,NS,NA,Unknown
